Indicator,Source,Kill chain,Creation date,End of validity,Context
5.2.64.135,SEKOIA C2 Tracker,"command-and-control 
",2020-10-19T00:00:00Z,2020-11-05T00:00:00Z,Wizard Spider / Ryuk
109.70.236.134,SEKOIA C2 Tracker,"command-and-control 
",2020-10-19T00:00:00Z,2020-11-05T00:00:00Z,Wizard Spider / Ryuk
5.2.79.12,SEKOIA C2 Tracker,"command-and-control 
",2020-10-19T00:00:00Z,2020-11-05T00:00:00Z,Wizard Spider / Ryuk
5.2.64.144,SEKOIA C2 Tracker,"command-and-control 
",2020-10-12T00:00:00Z,2020-11-05T00:00:00Z,Wizard Spider / Ryuk
88.119.171.73,SEKOIA C2 Tracker,"command-and-control 
",2020-10-19T00:00:00Z,2020-11-05T00:00:00Z,Wizard Spider / Ryuk
107.173.58.175,SEKOIA C2 Tracker,"command-and-control 
",2020-10-19T00:00:00Z,2020-11-05T00:00:00Z,Wizard Spider / Ryuk
5.2.64.174,SEKOIA C2 Tracker,"command-and-control 
",2020-10-19T00:00:00Z,2020-11-05T00:00:00Z,Wizard Spider / Ryuk
213.252.244.170,SEKOIA C2 Tracker,"command-and-control 
",2020-10-19T00:00:00Z,2020-11-05T00:00:00Z,Wizard Spider / Ryuk
88.119.175.153,SEKOIA C2 Tracker,"command-and-control 
",2020-10-19T00:00:00Z,2020-11-05T00:00:00Z,Wizard Spider / Ryuk
5.2.64.167,SEKOIA C2 Tracker,"command-and-control 
",2020-10-19T00:00:00Z,2020-11-05T00:00:00Z,Wizard Spider / Ryuk
5.2.64.149,SEKOIA C2 Tracker,"command-and-control 
",2020-10-19T00:00:00Z,2020-11-05T00:00:00Z,Wizard Spider / Ryuk
88.119.171.94,SEKOIA C2 Tracker,"command-and-control 
",2020-10-19T00:00:00Z,2020-11-05T00:00:00Z,Wizard Spider / Ryuk
213.252.245.71,SEKOIA C2 Tracker,"command-and-control 
",2020-10-19T00:00:00Z,2020-11-05T00:00:00Z,Wizard Spider / Ryuk
