tlp,id,type,name,pattern,pattern_type,created,modified,first_seen,last_seen,valid_from,valid_until,confidence,kill_chain,sources
white,indicator--04f05593-2a58-4e33-b4f0-d6febfd893b0,indicator,api.ontracting.com,[domain-name:value = 'api.ontracting.com'],stix,2021-07-27T15:47:18.224083Z,2021-11-09T14:18:23.731342Z,,,2021-01-01T00:00:00Z,2022-01-01T00:00:00Z,100,"command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack)",SEKOIA
white,indicator--0627461f-42c9-4865-82c9-adcf1c9961cf,indicator,81.236.182.199,[ipv4-addr:value = '81.236.182.199'],stix,2021-07-27T15:50:58.399844Z,2021-11-09T14:18:23.732871Z,,,2021-01-01T00:00:00Z,2022-01-01T00:00:00Z,100,"command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack)",SEKOIA
white,indicator--09957d17-b8f5-4ad3-9d30-cfaccb22dbb5,indicator,83.81.73.23,[ipv4-addr:value = '83.81.73.23'],stix,2021-04-27T11:53:40.456417Z,2021-11-09T14:18:23.73209Z,,,2021-01-01T00:00:00Z,2022-01-01T00:00:00Z,100,"command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack)","SEKOIA C2 Tracker, SEKOIA"
white,indicator--0b3d3698-c0b0-4d5a-a0a3-b90cfd9d743f,indicator,217.210.180.113,[ipv4-addr:value = '217.210.180.113'],stix,2021-07-27T15:50:58.399463Z,2021-11-09T14:18:23.732111Z,,,2021-01-01T00:00:00Z,2022-01-01T00:00:00Z,100,"command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack)",SEKOIA
white,indicator--0de078b0-ccfe-400a-8f81-c7d164a0fc20,indicator,185.96.198.75,[ipv4-addr:value = '185.96.198.75'],stix,2021-07-27T15:50:58.399773Z,2021-11-09T14:18:23.732723Z,,,2021-01-01T00:00:00Z,2022-01-01T00:00:00Z,100,"command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack)",SEKOIA
white,indicator--179eca50-bdbc-42c0-a7db-7986208fb2e8,indicator,www.keys-networks.com,[domain-name:value = 'www.keys-networks.com'],stix,2021-07-27T15:47:18.223948Z,2021-11-09T14:18:23.731026Z,,,2021-01-01T00:00:00Z,2022-01-01T00:00:00Z,100,"command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack)",SEKOIA
white,indicator--1abda87c-665c-408c-9b2e-16e55f4109b7,indicator,85.166.160.50,[ipv4-addr:value = '85.166.160.50'],stix,2021-07-27T15:50:58.399601Z,2021-11-09T14:18:23.732362Z,,,2021-01-01T00:00:00Z,2022-01-01T00:00:00Z,100,"command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack)",SEKOIA
white,indicator--2337e250-4773-4ceb-805b-142d1c4cba73,indicator,88.129.39.248,[ipv4-addr:value = '88.129.39.248'],stix,2021-07-27T15:50:58.399989Z,2021-11-09T14:18:23.733143Z,,,2021-01-01T00:00:00Z,2022-01-01T00:00:00Z,100,"command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack)",SEKOIA
white,indicator--24996cd3-e29d-4a3f-bde3-547fca9cc3b2,indicator,78.82.247.37,[ipv4-addr:value = '78.82.247.37'],stix,2021-07-27T15:50:58.399682Z,2021-11-09T14:18:23.732556Z,,,2021-01-01T00:00:00Z,2022-01-01T00:00:00Z,100,"command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack)",SEKOIA
white,indicator--2631a5f3-3d03-4d2e-932b-c992a2c56388,indicator,58.182.61.137,[ipv4-addr:value = '58.182.61.137'],stix,2021-07-27T15:50:58.399762Z,2021-11-09T14:18:23.732702Z,,,2021-01-01T00:00:00Z,2022-01-01T00:00:00Z,100,"command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack)",SEKOIA
