IOC, Valid From, Valid Until, Link, Comment
http://212.193.30.115/base/api/getData.php,2022-07-01T00:00:00Z,2023-02-11T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--53179233-56fb-4219-b948-de94c88388fc, PrivateLoader C2
http://linislominyt11.at/,2022-03-21T00:00:00Z,2023-03-02T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--ef9bff1b-83f3-43dd-bafc-1ddf6227766f, C2 of payload dropped by PrivateLoader
http://212.193.30.115/base/api/statistics.php,2022-07-01T00:00:00Z,2023-02-11T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--ce1dcf4a-980c-4a04-9516-36b1e2a4888e, PrivateLoader C2
http://116.203.105.117/base/api/getData.php,2022-08-15T00:00:00Z,2023-02-11T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--63826d15-0ab5-4bd6-8a5b-c3e84eeb626b, PrivateLoader C2
http://89.185.85.53/,2022-08-07T00:00:00Z,2023-03-17T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--c7d46136-57af-49ee-bc3f-cdc20bbe9c77, PrivateLoader C2
http://212.193.30.115/service/communication.php,2022-08-15T00:00:00Z,2023-02-11T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--41e801c6-3d99-4703-a941-584731ff4037, PrivateLoader C2
http://146.70.87.133/,2022-09-02T00:00:00Z,2023-03-02T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--05590fe0-4854-4bc3-987a-16f052359a03, PrivateLoader C2
https://pastebin.com/raw/A7dSG1te,2022-09-08T00:00:00Z,2023-03-07T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--a90a19f6-db88-4f28-bdba-e47070da6eed, PrivateLoader Dead Drop Resolver
http://163.123.143.4/proxies.txt,2022-07-23T00:00:00Z,2023-03-16T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--1fdf5cc9-fed2-4aff-bee7-8921d0bf7996, PrivateLoader Dead Drop Resolver
https://oshi.at/Kaqm,2022-09-03T00:00:00Z,2023-03-02T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--93be4c93-27da-4a1b-8503-a23a95c89ef5, C2 of payload dropped by PrivateLoader
http://107.182.129.251/server.txt,2022-08-01T00:00:00Z,2023-03-16T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--19280ac6-5f6f-4d10-a424-2aafc5464841, PrivateLoader Dead Drop Resolver
http://wfsdragon.ru/api/setStats.php,2022-07-02T00:00:00Z,2023-03-16T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--0c626520-6ba4-4f40-83ec-869401459c63, PrivateLoader C2
07fc65171bd41c661eb82691ca837831;6ae01cac1d3a0c3ba80760b5854b0d775c56b6be;202d14ca71ba0a0d0cd06d3bb0da7a4b74c5a3de429420d6c0a0b766b81cc4cc;6e2a3974202ccd687a2fa8e4f9f9e914c402e835b91d6b7ccce443cee793621619889e5a3c86533fbf7d9b92bdd7e39e25b9e1f4b4e36caebb611e9d98ea4a70,2022-09-03T00:00:00Z,2027-09-02T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--43b79bc5-03b2-46cb-937a-039bac7fa93a, Redline dropped by PrivateLoader
fa6fcc58968ab07ee3ba390244209ddf;7e2026fed85388aad0af7d4126a8f86709602585;392049ce2edacaef91a29eb0ef2b7b9927a82550b592dedf725a33b6cfdd2381;766d4c2b4d2746977dbe4568ac21bc790983f52ef902d12a6ea1f7de6527f344a8568da7176eff313854bbee653fe4b14e5bea3cd534175f47b29a2e98abdcbe,2022-08-31T00:00:00Z,2027-09-02T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--14832198-1d11-4644-9590-6460e5db2f18, Redline dropped by PrivateLoader
