IOC, Valid From, Valid Until, Link
c4k-ircd.pwndns.pw,2022-09-01T00:00:00Z,2025-03-16T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--f428ddd8-c478-4e9e-9ebe-03e99877ecfb
pwn.oracleservice.top,2022-06-01T00:00:00Z,2025-03-16T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--69493717-a478-4d03-9f6d-addb61651815
run.on-demand.pw,2024-09-17T00:00:00Z,2025-03-16T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--a32e74b4-3694-4f22-b34e-1514b1dd23d9
play.sck-dns.cc,2024-09-17T00:00:00Z,2025-03-16T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--9c694b52-bdb7-42ef-8874-4b343e4ac1c5
http://154.213.192.44/m.xml,2024-09-17T00:00:00Z,2025-03-16T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--9d2ed385-f34d-448f-9e92-055f8a515f25
http://154.213.192.44/y,2024-09-17T00:00:00Z,2025-03-16T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--0217a6ba-d55b-436b-81d4-efe9d3279fcb
http://154.213.192.44/c,2024-09-17T00:00:00Z,2025-03-16T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--3fc6a2e9-d67e-4cfa-a694-28572f7cc5de
http://154.213.192.44/goku,2024-09-17T00:00:00Z,2025-03-16T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--a88b5a35-3390-4fe2-ba0c-ec1a14de842c
http://sck-dns.cc/c,2024-09-17T00:00:00Z,2025-03-16T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--66d0b708-53b9-431f-bf73-d0eb1801b48b
http://154.213.192.44/m1.xml,2024-09-17T00:00:00Z,2025-03-16T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--027af819-1ef0-475d-a2cd-2b43357d554f
http://154.213.192.44/bin.ps1,2024-09-17T00:00:00Z,2025-03-16T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--6a4b9f67-2c11-42e9-9aa9-91f3ecf67307
http://154.213.192.44/plugin3.dll,2024-09-17T00:00:00Z,2025-03-16T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--ae387077-65ff-4658-9631-af8dc6c12b35
http://154.213.192.44/Ueordwfkay.pdf,2024-09-17T00:00:00Z,2025-03-16T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--0e5acc4f-3df6-4dc0-aae2-f424bd1c3b76
5100dbaf942556184928fc0387fb5aab69dc2ef7e77b29db75905329697f2350,2024-08-28T00:00:00Z,2049-09-18T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--b4b3e913-a7e8-45e8-882e-48b3df13f4fe
10c2913361debb5f1db95c170ce2d6892d598d97b9f1f7f76a8bc7b5053e801a,2024-09-17T00:00:00Z,2049-09-18T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--45dc5b6d-e7ee-4b0c-85db-ff6225b98fca
