TLP,Observable (not an IOC!),Comment,Source
WHITE,04cxsh[.]rentranking[.]online,First stage DoppelGänger,Sekoia.io
WHITE,09474w[.]reyt-cre-ad34[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,0o89l7[.]lucky-cred-moment286[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,0prb8e[.]bubo-webdesign[.]com,First stage DoppelGänger,Sekoia.io
WHITE,0zto6t[.]maximizeyourmoney[.]info,First stage DoppelGänger,Sekoia.io
WHITE,156a3i[.]good-credit-it92[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,18amh2[.]575398a[.]com,First stage DoppelGänger,Sekoia.io
WHITE,1d30z3[.]prodentimonline[.]online,First stage DoppelGänger,Sekoia.io
WHITE,1gh3ez[.]se5pro[.]co[.]uk,First stage DoppelGänger,Sekoia.io
WHITE,1rrh4p[.]lauraperez[.]lat,First stage DoppelGänger,Sekoia.io
WHITE,1tppk5[.]pueblosmagicosdemexico[.]site,First stage DoppelGänger,Sekoia.io
WHITE,1u7y85[.]kredit-money-fun213[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,1w2gfp[.]persiapkandiri[.]click,First stage DoppelGänger,Sekoia.io
WHITE,1wifsq[.]c-majac-ann4[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,1yrofi[.]speaiker[.]com,First stage DoppelGänger,Sekoia.io
WHITE,2byz26[.]tengnangkia100[.]click,First stage DoppelGänger,Sekoia.io
WHITE,2k178c[.]galeriahungaria[.]com,First stage DoppelGänger,Sekoia.io
WHITE,2l7p5t[.]rvn[.]agency,First stage DoppelGänger,Sekoia.io
WHITE,2prkhe[.]hsbc[.]monster,First stage DoppelGänger,Sekoia.io
WHITE,34d37b[.]janithjayasala[.]com,First stage DoppelGänger,Sekoia.io
WHITE,363mw3[.]lapropietat[.]cat,First stage DoppelGänger,Sekoia.io
WHITE,37uxh4[.]topseries[.]stream,First stage DoppelGänger,Sekoia.io
WHITE,39bwjn[.]comeback159[.]click,First stage DoppelGänger,Sekoia.io
WHITE,3avyzy[.]bhojpuriupdate[.]online,First stage DoppelGänger,Sekoia.io
WHITE,3cioni[.]bonus-menarik[.]xyz,First stage DoppelGänger,Sekoia.io
WHITE,3fzfk3[.]oracionalavirgendeguadalupe[.]cat,First stage DoppelGänger,Sekoia.io
WHITE,3g984z[.]suatuti[.]store,First stage DoppelGänger,Sekoia.io
WHITE,3h0p06[.]arlpools[.]site,First stage DoppelGänger,Sekoia.io
WHITE,3isdf2[.]real-credits-snap208[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,3wk8wa[.]kariz-good-ad10[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,405a39[.]goodgame4[.]click,First stage DoppelGänger,Sekoia.io
WHITE,40jczf[.]testahil[.]online,First stage DoppelGänger,Sekoia.io
WHITE,41xikp[.]lotus365-app[.]life,First stage DoppelGänger,Sekoia.io
WHITE,42h2nb[.]ugandanchemist[.]com,First stage DoppelGänger,Sekoia.io
WHITE,45dmby[.]phonatography[.]com,First stage DoppelGänger,Sekoia.io
WHITE,489hpx[.]midnights93[.]click,First stage DoppelGänger,Sekoia.io
WHITE,49g7l6[.]only-best-kred119[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,4fvgo7[.]theearthangelconnection[.]com,First stage DoppelGänger,Sekoia.io
WHITE,4g3ssr[.]zeroceluliteste[.]online,First stage DoppelGänger,Sekoia.io
WHITE,4v4sre[.]homefurniture11[.]xyz,First stage DoppelGänger,Sekoia.io
WHITE,4ygp0x[.]acilkksiqortahizmeti[.]xyz,First stage DoppelGänger,Sekoia.io
WHITE,4za2tl[.]kredyt-kr28[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,4zuij0[.]supe-nesie-ad17[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,4zw697[.]heatlhylife[.]online,First stage DoppelGänger,Sekoia.io
WHITE,51ja3b[.]manifestwealth[.]world,First stage DoppelGänger,Sekoia.io
WHITE,52i7b9[.]amiclear-store[.]online,First stage DoppelGänger,Sekoia.io
WHITE,53j7sh[.]viczak[.]xyz,First stage DoppelGänger,Sekoia.io
WHITE,53wdxh[.]forexandcurrencynews[.]com,First stage DoppelGänger,Sekoia.io
WHITE,55hpko[.]perludiketahui[.]click,First stage DoppelGänger,Sekoia.io
WHITE,56mvm9[.]eothondangdep[.]shop,First stage DoppelGänger,Sekoia.io
WHITE,5fe8ap[.]primelearn[.]co[.]uk,First stage DoppelGänger,Sekoia.io
WHITE,5map7w[.]gardeningflair[.]com,First stage DoppelGänger,Sekoia.io
WHITE,5ose9t[.]pepper[.]quest,First stage DoppelGänger,Sekoia.io
WHITE,5pbnxj[.]ppplown[.]com,First stage DoppelGänger,Sekoia.io
WHITE,5tbox5[.]bebraclub[.]online,First stage DoppelGänger,Sekoia.io
WHITE,5x8m62[.]pellepelle[.]nyc,First stage DoppelGänger,Sekoia.io
WHITE,60muu7[.]ahmasasihh27[.]click,First stage DoppelGänger,Sekoia.io
WHITE,61c14a[.]ger4098764793ggwhit3[.]online,First stage DoppelGänger,Sekoia.io
WHITE,62ogyy[.]internetbusinesslondon[.]co[.]uk,First stage DoppelGänger,Sekoia.io
WHITE,65i76o[.]bpinks[.]site,First stage DoppelGänger,Sekoia.io
WHITE,690xfk[.]intresso-cre-ag33[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,6c6q5r[.]lucky-cred-moment87[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,6cgotl[.]homedecorukstyle[.]link,First stage DoppelGänger,Sekoia.io
WHITE,6ijtts[.]off-record[.]online,First stage DoppelGänger,Sekoia.io
