IOC, Valid From, Valid Until, Link
gitlabhr.com,2024-01-26T00:00:00Z,2024-07-25T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--4f362c18-6aa2-4bec-946b-e37c4d1c8f6f
cellularhr.com,2024-01-28T00:00:00Z,2024-07-27T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--97828430-68a5-41d0-89a7-df401530cf05
usinfo1.net,2024-02-08T00:00:00Z,2024-08-08T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--44138636-fc83-4ef9-9f25-e9b79b288f35
roblox-hrs.com,2024-01-27T00:00:00Z,2024-07-26T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--f5d8e53f-4365-467b-bc04-6806f0a8a7c0
gitlabsso.com,2024-01-26T00:00:00Z,2024-07-25T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--9f728197-085c-4b49-a5c5-f6210e32114f
walmartsso.com,2024-01-19T00:00:00Z,2024-07-20T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--d6ee735e-d808-4790-95c1-8d018ac56dad
rbxhr.net,2024-01-27T00:00:00Z,2024-07-26T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--4b9ba7bf-a801-4c3a-9a41-974283ca1e95
bell-hr.com,2024-02-10T00:00:00Z,2024-08-08T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--39a76515-5fb6-45d1-9ddc-ad1368e65ef6
uscell.net,2024-01-29T00:00:00Z,2024-07-28T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--8f713385-4c6c-4524-9ef2-88d1b4265bed
grubhubsso.com,2024-01-22T00:00:00Z,2024-07-21T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--b92393ec-c984-476c-a516-9e250c6de5e3
zen-sso.com,2024-01-10T00:00:00Z,2024-07-08T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--262abbd7-cae5-41d7-acea-bd0659578225
