IOC, Valid From, Valid Until, Link
138.201.92[.]44:8081,2022-11-07,2022-12-07,https://app.sekoia.io/intelligence/public/objects/indicator--87289042-546d-477a-a813-b0a607711940
146.19.24[.]118:8081,2022-11-07,2022-12-07,https://app.sekoia.io/intelligence/public/objects/indicator--69334449-9cef-42e3-a846-031f539fc96a
167.235.233[.]95:9865,2022-11-01,2022-12-01,https://app.sekoia.io/intelligence/public/objects/indicator--84a95167-cbae-4eae-bf04-531608594f36
185.173.36[.]94:8081,2022-11-01,2022-12-01,https://app.sekoia.io/intelligence/public/objects/indicator--86752621-6330-40da-a131-e75e1659fcf6
185.209.22[.]98:8081,2022-11-01,2022-12-01,https://app.sekoia.io/intelligence/public/objects/indicator--8c82f49b-7c4b-40e1-ae33-2e88e6ad4f08
193.233.48[.]15:9865,2022-11-01,2022-12-01,https://app.sekoia.io/intelligence/public/objects/indicator--045e2689-9b7b-491e-93fd-d2afc02b6ddd
37.220.87[.]2:8081,2022-11-07,2022-12-07,https://app.sekoia.io/intelligence/public/objects/indicator--ace38bc4-1a03-4e1f-95c7-2e7a281c8daa
45.137.65[.]190:8081,2022-10-17,2022-12-07,https://app.sekoia.io/intelligence/public/objects/indicator--4f14c768-173a-4d06-8eaa-06507929db33
45.144.30[.]146:8081,2022-11-07,2022-12-07,https://app.sekoia.io/intelligence/public/objects/indicator--5ebc43aa-7e14-4d49-830b-a3ae8397e4b7
45.15.156[.]115:8081,2022-11-07,2022-12-07,https://app.sekoia.io/intelligence/public/objects/indicator--e2fa9b3c-613d-47fa-9be5-c279dd7ab4a8
45.15.156[.]22:8081,2022-11-07,2022-12-07,https://app.sekoia.io/intelligence/public/objects/indicator--5f1dd136-bcbd-467f-a0fd-0b103dd4cc85
45.15.156[.]33:8081,2022-10-12,2022-12-12,https://app.sekoia.io/intelligence/public/objects/indicator--99cfb26c-800b-4d06-9ede-be74ab3ad7a0
45.15.156[.]80:8081,2022-11-01,2022-12-01,https://app.sekoia.io/intelligence/public/objects/indicator--5f7c8c91-be4c-4deb-9f78-54ae5b47c093
45.15.156[.]97:8081,2022-10-24,2022-12-01,https://app.sekoia.io/intelligence/public/objects/indicator--779dbf7f-439b-408e-be7d-30c097586355
45.15.157[.]137:8081,2022-11-07,2022-12-07,https://app.sekoia.io/intelligence/public/objects/indicator--fbc3fcfa-c961-471b-9a7f-ebdaeade00ed
49.12.222[.]119:8081,2022-10-12,2022-12-12,https://app.sekoia.io/intelligence/public/objects/indicator--cc3a1f58-ddeb-4370-ab7f-1570182e5064
49.12.97[.]28:8081,2022-11-01,2022-12-01,https://app.sekoia.io/intelligence/public/objects/indicator--6e523aa0-a363-4e4b-ac39-3d0b466897f8
5.9.85[.]111:8081,2022-11-07,2022-12-07,https://app.sekoia.io/intelligence/public/objects/indicator--48622dbf-78e6-43aa-8a34-9094d081f16b
65.108.253[.]85:8081,2022-09-12,2022-12-12,https://app.sekoia.io/intelligence/public/objects/indicator--ef15abeb-68d2-466c-956b-71beadeebfd2
65.109.25[.]109:8081,2022-11-07,2022-12-07,https://app.sekoia.io/intelligence/public/objects/indicator--cb57959d-6889-4126-94f5-a25622f148c4
