IOC, Valid From, Valid Until, Link
https://recaptcha-verify-1t.pages.dev/,2025-02-07T00:00:00Z,2025-08-06T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--c4c75da9-c100-4b89-b709-f66c10f65c30
http://83.217.208.130/xfiles/Ohio.mp4,2025-02-06T00:00:00Z,2025-08-05T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--a017baa5-09b0-49f1-ae53-1b85ac79c5d7
https://f003.backblazeb2.com/file/skippp/glass.mp3,2025-02-26T00:00:00Z,2025-08-25T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--d780ab6e-706a-47ed-be51-54d229b1e580
https://recaptha-verify-5q.pages.dev/,2025-01-23T00:00:00Z,2025-07-22T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--2ba72637-2c64-4f87-8123-f475dc70f1a4
https://hur.bweqlkjr.shop/1a.m4a,2025-02-19T00:00:00Z,2025-08-18T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--0683d1d6-3c1b-4f85-b1d3-c57f0adcc785
https://human-verify-4r.pro/xfiles/human.cpp,2025-02-10T00:00:00Z,2025-08-09T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--4ed171b1-6649-4676-9f22-14d48360e05d
https://macos-browser-update-9n.pages.dev/,2025-02-07T00:00:00Z,2025-08-06T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--2bbc5c0d-edcd-43f8-8fe6-1c8b3256a724
https://recaptcha-verify-me-1c.pages.dev/,2025-02-10T00:00:00Z,2025-08-09T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--b41997f2-6362-4897-b22d-28ab8563d4dd
https://tour-agency-media.pages.dev/,2025-02-16T00:00:00Z,2025-08-15T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--890034c8-8a44-4f28-80f3-cd6e05c2f548
http://83.217.208.130/xfiles/trip.psd,2025-02-05T00:00:00Z,2025-08-04T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--adecf78a-bfff-4c92-93f3-a4f29effb0b8
https://hostme.pages.dev/host,2025-02-25T00:00:00Z,2025-08-24T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--5a259f2e-31c6-4349-946c-1c03fd5af110
https://sha-11x.pages.dev/,2025-02-21T00:00:00Z,2025-08-20T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--15d0fd17-566c-40e0-a032-c14a28406d99
https://recaptcha-verify-1r.pages.dev/,2025-01-25T00:00:00Z,2025-07-24T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--f45584c4-948c-44bc-a6df-f40c4c2ee9c4
https://discover-travel-agency.pro/joke.m4a,2025-02-18T00:00:00Z,2025-08-17T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--d22d6e8c-ad09-4401-9802-7e56cca1b92b
https://recaptcha-manual.shop/kangarooing.m4a,2025-02-13T00:00:00Z,2025-08-12T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--92dbd32a-77be-45b3-ba60-2b48d2379f24
http://80.64.30.238/trip.psd,2025-02-05T00:00:00Z,2025-08-04T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--4845b919-804e-4c1f-9360-2fba9a16b2fb
https://disable-data-collect-ai.pages.dev/,2025-02-02T00:00:00Z,2025-08-01T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--947a69ac-f863-4fb6-a354-46a33d82eb15
https://niopg.pages.dev/,2025-02-19T00:00:00Z,2025-08-18T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--230a6cc0-5984-42b2-95c2-352387c83506
https://ert67-o9.pages.dev/data,2025-02-26T00:00:00Z,2025-08-25T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--5da5f8e0-b463-432d-98cc-ad6f14a744ee
https://f003.backblazeb2.com/file/skippp/index.html,2025-02-26T00:00:00Z,2025-08-25T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--d709376e-b652-41f5-86c3-be8a70df3591
https://f003.backblazeb2.com/file/skippp/uu.html,2025-02-26T00:00:00Z,2025-08-25T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--8f173242-723f-4580-a5f1-65f0298cec61
https://macos-browser-update-5i.pages.dev/,2025-02-07T00:00:00Z,2025-08-06T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--8967eb38-03b4-4c3e-90f9-c146244ebe85
https://human-verify-7u.pages.dev/,2025-02-11T00:00:00Z,2025-08-10T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--b28d23e5-11f2-4fc8-8e5d-218a8cfa302d
https://ads.green-pickle-jo.shop/1.m4a,2025-02-16T00:00:00Z,2025-05-18T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--dbb26b7f-b053-4f16-b385-b6e36aae9096
https://recaptcha-verify-2e.pages.dev/,2025-02-07T00:00:00Z,2025-08-06T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--0a472877-e442-40b4-aa2f-f5e8ceab175f
https://fresh-orange-juice.pages.dev/,2025-02-16T00:00:00Z,2025-08-15T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--dd79d92a-3ae5-4419-9fd0-87a53a297fe6
https://dns-verify-me.pro/xfiles/train.mp4,2025-02-08T00:00:00Z,2025-08-07T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--b51b8938-a361-4c5f-846d-ae410a7cab5c
https://sdfwefwg.pages.dev/,2025-02-19T00:00:00Z,2025-08-18T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--a2c72c1d-fbab-4f8f-8b76-a4ea04af7d3c
https://tumbl.design-x.xyz/glass.mp3,2025-02-26T00:00:00Z,2025-08-26T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--c8ca6c01-b697-4357-985c-9be9126f12d1
https://recaptcha-verify-4h.pro/kangarooing.m4a,2025-02-13T00:00:00Z,2025-08-12T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--79a9f391-be1f-4584-982d-2faf7d95687e
https://sandbox.yunqof.shop/macan.mp3,2025-02-25T00:00:00Z,2025-08-24T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--e6db6bd1-0f28-4d6b-b62b-2bc6dc42a146
http://80.64.30.238/evix.xll,2025-02-03T00:00:00Z,2025-08-02T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--2aa9acd8-6079-426e-a3e5-7ed63a317e73
https://nbhg-v.iuksdfb-f.shop/ajax.mp3,2025-02-20T00:00:00Z,2025-08-19T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--b3f4fd17-b983-4ddf-94dd-8c10dc552989
https://microsoft-dns-reload-5q.pages.dev,2025-01-23T00:00:00Z,2025-07-22T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--ce6db473-5b71-49ec-9be5-af4dfd18affa
