IOC, Valid From, Valid Until, Link
onedrive-33i.amittal-prodwaresol-com-s-account.workers.dev,2026-03-19T00:00:00Z,2026-09-15T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--36248c3a-cc37-4f7b-a7e8-81057f2a0144
onedrive-23n.sbutler-stateservice-us-s-account.workers.dev,2026-03-19T00:00:00Z,2026-09-15T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--3f079845-bfec-4d9b-af34-676156656929
index-ap3.tyler2miler-proton-me-s-account.workers.dev,2026-02-18T00:00:00Z,2026-08-18T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--c4b89197-75ea-4813-9704-effd49f7be2c
docusign-t0o.accountsreceivable-greens-au-com-s-account.workers.dev,2026-03-22T00:00:00Z,2026-06-21T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--2678dfcc-efb7-4f34-b63f-01459c7b7c9b
docusign-ffp.garciarodriguezt-student-wpunj-edu-s-account.workers.dev,2026-03-22T00:00:00Z,2026-06-26T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--7b8e1eec-f589-4ce4-850e-f11693904c27
bumpgames.net,2026-03-16T00:00:00Z,2026-06-21T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--85231f59-e4e0-422e-bf70-15113727318d
adobe-y73.letsgo-birdynyc-com-s-account.workers.dev,2026-03-22T00:00:00Z,2026-06-21T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--bdf7c82f-609d-4bf5-8361-918eac6e0a6d
adobe-lar.denise-chxhistory-com-s-account.workers.dev,2026-03-24T00:00:00Z,2026-06-27T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--b1731850-4108-4905-9ac3-add2d6c39d38
onedrive-hea.jhaas-hapnehartmedia-com-s-account.workers.dev,2026-03-19T00:00:00Z,2026-09-15T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--1c418aa7-627a-4e11-9372-abe889f5f18a
update.youcreadio.cfd,2026-02-18T00:00:00Z,2026-08-18T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--67091f9e-c87a-4211-8609-4903ed095c13
page-custommmvx6290-9kb.snpfs90-outlook-com-s-account.workers.dev,2026-03-19T00:00:00Z,2026-09-15T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--eac0627a-734d-4f9d-93db-18b962742a50
docusign-y8l.accountant-fitfranchisebrands-com-s-account.workers.dev,2026-03-13T00:00:00Z,2026-06-18T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--c6f5fde5-1a00-4331-a21c-3932095119e0
page-voicemail-3i6.ucbqzm9-ucl-ac-uk-s-account.workers.dev,2026-03-19T00:00:00Z,2026-09-15T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--de7c9d4c-6e52-464d-ab2f-68d97c48998c
adobe-of6.hayixa9795-pazard-com-s-account.workers.dev,2026-03-22T00:00:00Z,2026-06-20T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--25b4b65d-5db3-407d-a031-7cd857420ec7
thesafarigarden.com,2026-03-23T00:00:00Z,2026-06-21T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--22d2fe5a-52f6-446c-b60f-467613a0c9c1
onedrive-7fp.davarius-thackery-dropmeon-com-s-account.workers.dev,2026-03-19T00:00:00Z,2026-09-15T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--cb43b423-9b41-49d0-94d3-3a40bdf9daca
docusign-gmx.medea-locallovechs-com-s-account.workers.dev,2026-03-22T00:00:00Z,2026-06-21T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--5372254d-88cb-4ec0-8b70-6254c2eba3fa
dao.com.au,2026-03-09T00:00:00Z,2026-06-26T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--35fff0a1-ea13-4afd-8ad8-ee31a05f4294
pelangiservice.com,2026-02-18T00:00:00Z,2026-08-18T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--da793b05-774f-460d-a8f1-da49f7b1e144
adobe-b6d.tuwilika-fcsnam-com-s-account.workers.dev,2026-03-23T00:00:00Z,2026-06-26T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--9f7cd67b-5a4a-416f-a369-8242d493e80f
docusend.networkssolutionmail.com,2026-03-16T00:00:00Z,2026-06-21T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--a0f9cbfe-9f2a-415a-ba8b-9f781888ab46
infinitechai.org,2026-03-16T00:00:00Z,2026-06-21T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--8bd26bda-d4fc-4643-8edc-141d3026244b
adobe-t9r.thomas-gibson-clyde-enq-com-s-account.workers.dev,2026-03-19T00:00:00Z,2026-09-15T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--64d61b57-f807-426d-8958-5ac8a3e9d435
adobe-mxg.snpfs90-outlook-com-s-account.workers.dev,2026-03-19T00:00:00Z,2026-09-15T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--5a57d3a5-bd1a-48c2-bb47-34419eebe719
docusign-o4x.bhc-credit-services-edl-bayreer-com-s-account.workers.dev,2026-03-22T00:00:00Z,2026-06-20T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--4d322c10-cd8f-4000-a7f3-3006441b2aec
mirsanotolastik.com,2026-03-23T00:00:00Z,2026-06-21T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--040536d4-93da-4455-9fe0-0821cb0ac1ba
sharepoint-uo2.angela-warrconstructioninc-onmicrosoft-com-s-account.workers.dev,2026-03-22T00:00:00Z,2026-06-23T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--a7754666-8776-49b1-83fd-4a4e0b804fd0
notificationsmanagersec.com,2026-03-23T00:00:00Z,2026-06-21T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--14b07a80-324b-484b-9f64-8480e6c70b6c
onedrive-dsk.cassandra-warholak-ifrma-org-s-account.workers.dev,2026-03-19T00:00:00Z,2026-09-15T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--33fe666d-c799-4a4f-b7ca-6d3c77e4f401
suctwocesonesstory.com,2026-03-19T00:00:00Z,2026-09-15T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--6435cf90-0d7a-4418-bbfb-d5c9ed95cce7
signaturerequired.thecoolcactus.com,2026-03-23T00:00:00Z,2026-06-21T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--5e864d18-ce39-4c8d-b8b6-ac6f06101134
backdoor-hub.com,2026-03-16T00:00:00Z,2026-06-21T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--a23c16ca-2929-4e2c-b0f7-a5ae30d739a8
prcservis.com,2026-03-23T00:00:00Z,2026-06-21T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--0bcd3109-53e0-413d-b76c-6f3ed9d39512
authdocspro.com,2026-03-16T00:00:00Z,2026-06-21T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--c6fb9dec-1bc5-47ab-b34e-e61318dcfe6b
adobe-7bf.signature-on-invoice-required-mail-com-s-account.workers.dev,2026-03-22T00:00:00Z,2026-06-20T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--ed69ee41-3f57-48aa-9dec-cc5d1814471d
yankeepine.co,2026-03-20T00:00:00Z,2026-06-27T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--3a41a887-2835-4149-a37c-5cc82db8d84a
well.atlantaperlnatal.com,2026-03-23T00:00:00Z,2026-06-21T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--dd7314e7-7d54-46ea-8371-784495fb82bb
evobothub.org,2026-02-18T00:00:00Z,2026-08-18T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--f4d6ff7c-533a-41e5-84b5-3e7a8c863e98
statushelper.aguasomos.com,2026-03-19T00:00:00Z,2026-09-15T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--51145245-1721-4d0c-9b3b-7e9e28db0e60
smstltle.net,2026-03-17T00:00:00Z,2026-06-21T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--8be61ac5-7100-48dd-b0b9-a93e3f0aa3c2
voicemail-l1b.thomas-gibson-clyde-enq-com-s-account.workers.dev,2026-03-22T00:00:00Z,2026-06-20T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--5f54eaa6-4421-4ac6-8d88-6fdc36c05b71
