IOC, Valid From, Valid Until, Link
Network traffic to 192.248.159.76 on port 2222,2024-02-29T00:00:00Z,2024-04-07T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--be58accf-186a-4af7-9f54-bcaf57417ce4
Network traffic to 64.176.68.223 on port 13785,2023-12-13T00:00:00Z,2024-01-19T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--5ade0a06-dd29-4189-b0d6-c9204d0c1e6b
192.254.69.35,2023-10-02T00:00:00Z,2023-10-12T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--1a7847c6-7f0e-45d8-a30a-6d79a2ff662e
Network traffic to 192.248.151.140 on port 23399,2023-12-07T00:00:00Z,2024-05-26T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--1d35064d-7feb-4dd6-a9fb-a7eb8ef9b091
Network traffic to 45.195.200.116 on port 2078,2023-05-21T00:00:00Z,2023-06-20T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--2cd18531-566d-4de1-9c4a-b7d49674bc5c
Network traffic to 84.46.240.42 on port 2083,2024-03-05T00:00:00Z,2024-04-12T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--6a30e2a7-fcb2-4565-9c0c-03c5d383df18
Network traffic to 95.179.191.137 on port 5938,2024-02-08T00:00:00Z,2024-03-25T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--9943e2d9-fc54-4554-86d8-a7bc39467f2b
Network traffic to 185.179.217.216 on port 9785,2024-02-16T00:00:00Z,2024-03-25T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--cd913546-ad97-4fa1-9c9f-abc178cb0d4b
Network traffic to 207.246.111.127 on port 13786,2023-11-06T00:00:00Z,2023-12-14T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--d139f44f-5232-4f59-b506-8748ed44ab7a
Network traffic to 45.56.71.218 on port 13724,2023-12-18T00:00:00Z,2024-01-26T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--69408ce1-8340-44b5-afb6-5ff593e9ca94
Network traffic to 31.210.51.93 on port 443,2023-12-14T00:00:00Z,2024-01-13T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--a10e018c-5690-4845-b6ab-dde0f5e6669c
Network traffic to 51.161.81.190 on port 13721,2023-12-18T00:00:00Z,2024-02-29T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--683ba123-9437-4e82-aced-2565574a6e6d
Network traffic to 129.153.135.83 on port 2078,2023-05-17T00:00:00Z,2023-08-18T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--eddb2903-7199-4f55-869b-a312bd478038
Network traffic to 85.215.218.128 on port 5243,2023-10-23T00:00:00Z,2023-11-29T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--200bddce-2b75-4ba1-b412-ba57dba19069
Network traffic to 167.179.103.206 on port 2083,2023-11-03T00:00:00Z,2023-12-09T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--1ae07395-bb6e-4640-854e-886eee2f9adb
Network traffic to 45.33.85.73 on port 13721,2023-11-01T00:00:00Z,2023-12-08T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--23dd5200-0633-4cc7-8356-1a6ddcca1c5e
Network traffic to 45.76.103.152 on port 13720,2023-11-06T00:00:00Z,2023-12-19T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--61c1094d-b1e6-4d7f-9a36-c06d909874ea
