ioc,first seen,domain creation,description,comment
florenceorganics.us,2024-10-08,2022-04-19,attacker-controlled domain,
auxin.co.in,2024-10-08,2021-09-10,possible compromised domain,
drgoelsdmd.com,2024-10-14,2016-07-27,possible compromised domain,
profitminers.in,2024-10-15,2024-07-23,attacker-controlled domain,
lovencareurology.in,2024-10-16,2024-09-09,attacker-controlled domain,
metin2odisey.com,2024-10-16,2024-04-11,attacker-controlled domain,
www.northernaid.org,2024-10-16,2024-04-20,possible compromised domain,
yaharaho.com,2024-10-24,2021-01-24,possible compromised domain,
thewoodlandretreat.in,2024-10-29,2021-03-22,possible compromised domain,
meliorahospital.com,2024-10-30,2023-03-28,possible compromised domain,
desirenetwork.in,2024-11-11,2022-09-02,attacker-controlled domain,
erhakalip.com,2024-11-12,2019-12-20,attacker-controlled domain,
iziloyer.com,2024-11-13,2022-01-10,possible compromised domain,
printserve.co.ke,2024-11-15,2013-04-09,possible compromised domain,
rockandrevenue.com,2024-11-16,2024-04-02,attacker-controlled domain,
www.fabribat.com,2024-11-16,2016-04-29,possible compromised domain,
unalkardesler.net,2024-11-17,2010-12-12,possible compromised domain,
docsafybeifur2mabbggrihscauthenticnotes.online,2024-11-18,2024-11-18,attacker-controlled domain,
hsrcxeeae.mypi.co,2024-11-18,2024-10-06,attacker-controlled domain,
pipaltree.ngo,2024-11-18,2018-08-02,possible compromised domain,
eto1908.org,2024-11-18,2013-01-02,possible compromised domain,
coysem.com,2024-11-19,2024-04-30,possible compromised domain,
o7t5dgbx-staging.dreamwp.com,2024-11-21,2016-06-23,attacker-controlled domain,
thumenectrics.es,2024-11-22,2024-11-21,attacker-controlled domain,
ms-consulting-dom.fr,2024-11-25,2024-11-22,attacker-controlled domain,
reliant-rehabs.com,2024-11-25,2024-06-13,attacker-controlled domain,
urbanumbrella.org,2024-11-25,2024-06-11,attacker-controlled domain,
senangwasap.com,2024-11-25,2020-10-16,possible compromised domain,
kagumigroup.id,2024-11-26,2018-04-19,possible compromised domain,
wordtex.com,2024-11-26,2001-08-05,possible compromised domain,
leanstartupatelier.co,2024-11-27,2021-07-02,possible compromised domain,
carpetcleaningmanitoba.ca,2024-11-27,2017-01-19,possible compromised domain,
claytoncontsruction.net,2024-11-28,2024-11-17,attacker-controlled domain,
emailsay.com,2024-12-02,2007-08-21,attacker-controlled domain,
