IOC, Valid From, Valid Until, Link
91.215.85[.]188,2023-02-14T00:00:00Z,2023-02-27T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--747b83e1-e70a-4785-b981-60dbf81fd717
94.142.138[.]48,2023-02-12T00:00:00Z,2023-03-12T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--eb07e7a9-53a9-4e68-8f50-dfef5a7a2764
185.242.87[.]149,2023-02-14T00:00:00Z,2023-03-01T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--6cd1cebc-4095-442d-ac39-ca6973237a32
185.247.184[.]7,2023-02-14T00:00:00Z,2023-03-01T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--626c0a4d-6edb-46d7-996a-7a564fea0d8e
77.246.156[.]93,2023-02-14T00:00:00Z,2023-03-01T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--059c042b-9e1c-47d8-83fd-511833abd129
185.143.223[.]136,2023-02-14T00:00:00Z,2023-03-01T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--f94cf478-1bc6-477b-b9c9-9d7de84ee5e7
65.109.131[.]183,2023-02-14T00:00:00Z,2023-03-01T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--82d9fca8-bf7f-43de-82e1-a00b6fb2f87e
194.87.31[.]146,2023-02-14T00:00:00Z,2023-03-01T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--de08282c-710c-4f61-9f83-35c66d8ace8c
85.239.54[.]29,2023-02-14T00:00:00Z,2023-03-01T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--3ebad16f-3617-4f52-a55d-235bb1aa11fc
45.136.51[.]61,2023-02-16T00:00:00Z,2023-03-01T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--c425bede-f45b-4ec1-9e0b-b448d0aeda5b
91.228.225[.]46,2023-02-14T00:00:00Z,2023-03-01T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--c052d6ad-1895-4276-b609-0aa19bf64a69
45.136.49[.]247,2023-02-16T00:00:00Z,2023-03-01T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--68160a35-f0ba-4228-8256-6b49559b90e3
37.220.87[.]65,2023-02-14T00:00:00Z,2023-03-01T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--67ce82fd-5842-47aa-af1f-f61b65572af6
