IOC, Valid From, Valid Until, Link
p1v12.17nor.com,2024-02-06T00:00:00Z,2024-09-07T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--667936ee-99c4-4d90-8ba9-f2302c19459a
q908q.refec7.com,2024-03-08T00:00:00Z,2024-09-07T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--63d78ac2-e934-43e3-b448-6f8162cf2ef0
kjlvo.ningeona.com,2024-03-12T00:00:00Z,2024-09-08T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--31be97f0-5423-4b13-b3e1-49a76f6176f6
0q5e0.nemen9.com,2024-03-12T00:00:00Z,2024-09-08T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--e22ef834-2e48-4f34-8420-0114d9f0da39
4343w.jgu0.com,2024-03-07T00:00:00Z,2024-09-08T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--9767feaf-986a-416c-89a9-235768635cd4
pmd8ot6xhw.3qjpc.com,2024-03-07T00:00:00Z,2024-09-08T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--7d49c189-048e-4a28-bd52-96b5199287e3
8000n.uqin.ru,2024-02-06T00:00:00Z,2024-09-07T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--6dff79f5-2d7f-44f1-a612-a63e33d42f1a
xva.tjlpkcia.com,2024-03-12T00:00:00Z,2024-09-08T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--f42482c1-dd1a-4ee3-9bef-8a25d46b68b8
zaqaxu.dthiterp.ru,2024-03-07T00:00:00Z,2024-09-07T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--6eae8cee-ff55-4a3d-940c-b908966c9b2f
buneji.fiernmar.com,2024-03-10T00:00:00Z,2024-09-06T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--73351290-a9d4-4831-a182-0c851417a464
gz238.uatimin.com,2024-03-13T00:00:00Z,2024-06-12T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--f1d83fd2-e71c-4329-983a-0801e8d28426
libudi.oreversa.com,2024-03-08T00:00:00Z,2024-09-07T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--f7991162-f5ef-40c9-8a44-b8713870bbd7
x12y.restrice.ru,2024-03-05T00:00:00Z,2024-09-08T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--529af9a9-f974-46bb-858c-66cea67bc675
8uecv.gnornamb.com,2024-03-12T00:00:00Z,2024-09-08T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--b71e39eb-6ba6-4922-b8e6-2f0d2f838b61
roriku.orankfix.com,2024-03-13T00:00:00Z,2024-06-12T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--999f92e2-c403-4315-a79c-a98a79d20919
l846d.ferver8.com,2024-03-08T00:00:00Z,2024-09-04T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--c34c0706-7300-4d4e-9b2b-0cc75b72730e
tlger-surveillance.com,2024-03-11T00:00:00Z,2024-09-07T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--f470fedb-98d8-4b0f-ba54-882110d00b71
wasogo.shantowd.com,2024-03-12T00:00:00Z,2024-09-08T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--332a20e8-017b-40d2-a3f5-f396c9d37ae7
ex1uo.rhknt.ru,2024-03-12T00:00:00Z,2024-09-08T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--5c170a4a-2a8c-4aac-95ca-25c37bce55d1
xrs.chenebystie.com,2024-03-12T00:00:00Z,2024-09-08T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--fbe995da-afdd-44d3-b4f8-9e216384b4a3
k348d.venti71.com,2024-03-07T00:00:00Z,2024-09-04T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--74558e74-4a01-471e-b6ab-21f6fb5b3a91
9c43r.theq0.com,2024-01-25T00:00:00Z,2024-09-07T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--cb4214ef-1105-4841-ab41-995d11f5e00c
oo99v.coqqwx.ru,2024-03-10T00:00:00Z,2024-09-06T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--c7aa664a-dda6-48cb-8c85-52fdbf15cfae
98q5e.ructin.com,2024-03-07T00:00:00Z,2024-09-08T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--ad510047-3be2-4f16-b665-069a67a5786d
fisaca.trodeckh.com,2024-03-10T00:00:00Z,2024-09-06T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--1b8baa71-3c79-4b25-b8cb-9422f8cba5ca
explore.atlester.ru,2024-02-14T00:00:00Z,2024-09-08T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--c8e1c926-06cf-4073-ada3-3a948f0dc7d2
