tlp,type,name,observable_types,valid_from,valid_until,confidence,kill_chain,sources
white,indicator,online-repo.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,forward-cts.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,data-mtp.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,lturl.me,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,ntp-checksum.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,smtp-ressources.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,synchro-updt.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,checksum-ctrl.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,ota-relay.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,updated-cloud.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,ntp-verify.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,checksum-cts.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,ntp-cts.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,repo-sec.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,symcd-itunes.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
